request,kind,requested_model,response_model,response_id,provider_created,has_response,duplicate_response_id,tokens,recovery_sidecars,error_files
records/units/gpt4o/eda_005/1/analogcoder/calls/call_01/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPt1hSz2tn9s5nzLGTDQ7yvIDN6w,1789011431,True,False,2536,0,0
records/units/gpt4o/eda_005/1/direct/calls/call_01/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPsXtNmT0yHNsE4ZPD080e4dsebD,1789011401,True,False,681,0,0
records/units/gpt4o/eda_005/1/direct/calls/call_02/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPsa2X3hQZ90ERy9myUsofpA7DwY,1789011404,True,False,640,0,0
records/units/gpt4o/eda_005/1/direct/calls/call_03/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPscJkT6X4dXu9YEw3AZMeAhD8Xr,1789011406,True,False,638,0,0
records/units/gpt4o/eda_005/1/full/calls/call_01/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMTBbl3i9tyIbHRtTmvYZ7JiiM2ot,1789024115,True,False,2004,0,0
records/units/gpt4o/eda_005/1/planning_calls/call_01/request.json,preparation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPsMkMhnsL317GkUJF1rC9SFVldh,1789011390,True,False,400,0,0
records/units/gpt4o/eda_005/1/planning_calls/call_02/request.json,preparation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPsPjA9gcqieQtH2dB4dFYJafHrg,1789011393,True,False,916,0,0
records/units/gpt4o/eda_005/1/planning_calls/call_03/request.json,preparation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPsR3NzZwGT0CjWs2xfbMjzl7BLm,1789011395,True,False,916,0,0
records/units/gpt4o/eda_005/1/planning_calls/call_04/request.json,preparation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPsUdu3vOSNgN8Fr3pwLXATVrNgx,1789011398,True,False,867,0,0
records/units/gpt4o/eda_005/1/spicepilot/calls/call_01/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPsm3COPOYewqHYdwm0sxRfgW4PY,1789011416,True,False,4154,0,0
records/units/gpt4o/eda_005/1/spicepilot/calls/call_02/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPsqPepHn6YUzsZfCjx37tItNlkz,1789011420,True,False,4272,0,0
records/units/gpt4o/eda_005/1/spicepilot/calls/call_03/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMPswYsC7LF7j7UPcDHxaE2WlnpIG,1789011426,True,False,4257,0,0
records/units/gpt4o/eda_005/2/analogcoder/calls/call_01/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQNvaKeI5xWnQ81csI5tZCIMsh3N,1789013347,True,False,2548,0,0
records/units/gpt4o/eda_005/2/direct/calls/call_01/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQO0I7w0UFAxev5SgBpEQvILNO4A,1789013352,True,False,646,0,0
records/units/gpt4o/eda_005/2/direct/calls/call_02/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQO2mPeWQM6jDQy6noNf0sqb1IsV,1789013354,True,False,666,0,0
records/units/gpt4o/eda_005/2/direct/calls/call_03/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQO4OmeRJjufZqm49y1bSjs2s4IY,1789013356,True,False,679,0,0
records/units/gpt4o/eda_005/2/full/calls/call_01/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMTFYPzUGtGTLjEZporcrazpL5oVS,1789024360,True,False,1993,0,0
records/units/gpt4o/eda_005/2/full/calls/call_02/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMTFaNU0zHCB5vgpl0ZK927qb0W3u,1789024362,True,False,2138,0,0
records/units/gpt4o/eda_005/2/full/calls/call_03/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMTFc0bKroYK0ZsEI55mNLkilCaPm,1789024364,True,False,2565,0,0
records/units/gpt4o/eda_005/2/planning_calls/call_01/request.json,preparation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQNTRnMUCeJgPaQHLY9ULAcApBAG,1789013319,True,False,395,0,0
records/units/gpt4o/eda_005/2/planning_calls/call_02/request.json,preparation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQNXPC1By110qaHTNi6CVKHraYtn,1789013323,True,False,870,0,0
records/units/gpt4o/eda_005/2/planning_calls/call_03/request.json,preparation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQNZ4qy3mT8DsWuffvV5uxg30NCg,1789013325,True,False,862,0,0
records/units/gpt4o/eda_005/2/planning_calls/call_04/request.json,preparation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQNbJt34LBGrsFYeDwTKGSLKuq1s,1789013327,True,False,869,0,0
records/units/gpt4o/eda_005/2/spicepilot/calls/call_01/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQNeRQ6E6kHdSAhLTJvs12A7rd37,1789013330,True,False,4201,0,0
records/units/gpt4o/eda_005/2/spicepilot/calls/call_02/request.json,generation,gpt-4o,gpt-4o-2024-08-06,chatcmpl-EMQNiryidcfOAed8R21ftLju0XIHt,1789013334,True,False,4234,0,0
