model,arm,exposure,trials,passed
gpt4o,analogcoder,development,30,3
gpt4o,analogcoder,new_task,30,1
gpt4o,direct,development,30,5
gpt4o,direct,new_task,30,2
gpt4o,full,development,30,12
gpt4o,full,new_task,30,2
gpt4o,spicepilot,development,30,3
gpt4o,spicepilot,new_task,30,0
gpt55,analogcoder,development,30,15
gpt55,analogcoder,new_task,30,14
gpt55,direct,development,30,16
gpt55,direct,new_task,30,12
gpt55,full,development,30,23
gpt55,full,new_task,30,17
gpt55,spicepilot,development,30,18
gpt55,spicepilot,new_task,30,12
qwen36,analogcoder,development,30,9
qwen36,analogcoder,new_task,30,0
qwen36,direct,development,30,7
qwen36,direct,new_task,30,3
qwen36,full,development,30,14
qwen36,full,new_task,30,5
qwen36,spicepilot,development,30,10
qwen36,spicepilot,new_task,30,0
qwen38,analogcoder,development,30,10
qwen38,analogcoder,new_task,30,5
qwen38,direct,development,30,1
qwen38,direct,new_task,30,2
qwen38,full,development,30,9
qwen38,full,new_task,30,7
qwen38,spicepilot,development,30,14
qwen38,spicepilot,new_task,30,9
v32,analogcoder,development,30,12
v32,analogcoder,new_task,30,9
v32,direct,development,30,8
v32,direct,new_task,30,3
v32,full,development,30,23
v32,full,new_task,30,10
v32,spicepilot,development,30,15
v32,spicepilot,new_task,30,5
v4,analogcoder,development,30,10
v4,analogcoder,new_task,30,12
v4,direct,development,30,17
v4,direct,new_task,30,9
v4,equal_call,development,30,23
v4,equal_call,new_task,30,11
v4,full,development,30,24
v4,full,new_task,30,19
v4,no_cleanup,development,30,23
v4,no_cleanup,new_task,30,19
v4,no_family_prompts,development,30,20
v4,no_family_prompts,new_task,30,18
v4,no_grounding,development,30,23
v4,no_grounding,new_task,30,15
v4,no_preparation,development,30,24
v4,no_preparation,new_task,30,14
v4,spicepilot,development,30,15
v4,spicepilot,new_task,30,19
