model,control,task,repeat,full_pass,control_pass,difference
gpt4o,analogcoder,eda_016,1,False,False,0
gpt4o,analogcoder,eda_016,3,False,False,0
gpt4o,analogcoder,eda_016,2,False,False,0
gpt4o,analogcoder,eda_027,1,True,False,1
gpt4o,analogcoder,eda_027,3,True,False,1
gpt4o,analogcoder,eda_027,2,True,False,1
gpt4o,analogcoder,eda_010,1,True,False,1
gpt4o,analogcoder,eda_010,3,True,False,1
gpt4o,analogcoder,eda_010,2,True,False,1
gpt4o,analogcoder,eda_207,1,False,False,0
gpt4o,analogcoder,eda_207,3,False,False,0
gpt4o,analogcoder,eda_207,2,False,False,0
gpt4o,analogcoder,eda_209,1,False,False,0
gpt4o,analogcoder,eda_209,3,False,False,0
gpt4o,analogcoder,eda_209,2,False,False,0
gpt4o,analogcoder,eda_208,1,False,False,0
gpt4o,analogcoder,eda_208,3,False,False,0
gpt4o,analogcoder,eda_208,2,False,False,0
gpt4o,analogcoder,eda_005,1,True,False,1
gpt4o,analogcoder,eda_005,3,False,False,0
gpt4o,analogcoder,eda_005,2,False,False,0
gpt4o,analogcoder,eda_201,1,True,False,1
gpt4o,analogcoder,eda_201,3,False,True,-1
gpt4o,analogcoder,eda_201,2,False,False,0
gpt4o,analogcoder,eda_206,1,False,False,0
gpt4o,analogcoder,eda_206,3,False,False,0
gpt4o,analogcoder,eda_206,2,False,False,0
gpt4o,analogcoder,eda_024,1,False,False,0
gpt4o,analogcoder,eda_024,3,False,False,0
gpt4o,analogcoder,eda_024,2,False,False,0
gpt4o,analogcoder,eda_210,1,False,False,0
gpt4o,analogcoder,eda_210,3,False,False,0
gpt4o,analogcoder,eda_210,2,False,False,0
gpt4o,analogcoder,eda_203,1,False,False,0
gpt4o,analogcoder,eda_203,3,False,False,0
gpt4o,analogcoder,eda_203,2,False,False,0
gpt4o,analogcoder,eda_009,1,True,True,0
gpt4o,analogcoder,eda_009,3,True,True,0
gpt4o,analogcoder,eda_009,2,True,True,0
gpt4o,analogcoder,eda_204,1,False,False,0
gpt4o,analogcoder,eda_204,3,False,False,0
gpt4o,analogcoder,eda_204,2,False,False,0
gpt4o,analogcoder,eda_007,1,True,False,1
gpt4o,analogcoder,eda_007,3,True,False,1
gpt4o,analogcoder,eda_007,2,False,False,0
gpt4o,analogcoder,eda_006,1,False,False,0
gpt4o,analogcoder,eda_006,3,False,False,0
gpt4o,analogcoder,eda_006,2,False,False,0
gpt4o,analogcoder,eda_008,1,False,False,0
gpt4o,analogcoder,eda_008,3,False,False,0
gpt4o,analogcoder,eda_008,2,False,False,0
gpt4o,analogcoder,eda_037,1,False,False,0
gpt4o,analogcoder,eda_037,3,False,False,0
gpt4o,analogcoder,eda_037,2,False,False,0
gpt4o,analogcoder,eda_205,1,False,False,0
gpt4o,analogcoder,eda_205,3,False,False,0
gpt4o,analogcoder,eda_205,2,False,False,0
gpt4o,analogcoder,eda_202,1,False,False,0
gpt4o,analogcoder,eda_202,3,True,False,1
gpt4o,analogcoder,eda_202,2,False,False,0
gpt4o,direct,eda_016,1,False,False,0
gpt4o,direct,eda_016,3,False,False,0
gpt4o,direct,eda_016,2,False,False,0
gpt4o,direct,eda_027,1,True,False,1
gpt4o,direct,eda_027,3,True,False,1
gpt4o,direct,eda_027,2,True,False,1
gpt4o,direct,eda_010,1,True,False,1
gpt4o,direct,eda_010,3,True,False,1
gpt4o,direct,eda_010,2,True,False,1
gpt4o,direct,eda_207,1,False,False,0
gpt4o,direct,eda_207,3,False,False,0
gpt4o,direct,eda_207,2,False,False,0
gpt4o,direct,eda_209,1,False,False,0
