model,arm,task,passed,trials,rate
gpt4o,analogcoder,eda_005,0,3,0.0
gpt4o,analogcoder,eda_006,0,3,0.0
gpt4o,analogcoder,eda_007,0,3,0.0
gpt4o,analogcoder,eda_008,0,3,0.0
gpt4o,analogcoder,eda_009,3,3,1.0
gpt4o,analogcoder,eda_010,0,3,0.0
gpt4o,analogcoder,eda_016,0,3,0.0
gpt4o,analogcoder,eda_024,0,3,0.0
gpt4o,analogcoder,eda_027,0,3,0.0
gpt4o,analogcoder,eda_037,0,3,0.0
gpt4o,analogcoder,eda_201,1,3,0.3333333333333333
gpt4o,analogcoder,eda_202,0,3,0.0
gpt4o,analogcoder,eda_203,0,3,0.0
gpt4o,analogcoder,eda_204,0,3,0.0
gpt4o,analogcoder,eda_205,0,3,0.0
gpt4o,analogcoder,eda_206,0,3,0.0
gpt4o,analogcoder,eda_207,0,3,0.0
gpt4o,analogcoder,eda_208,0,3,0.0
gpt4o,analogcoder,eda_209,0,3,0.0
gpt4o,analogcoder,eda_210,0,3,0.0
gpt4o,direct,eda_005,0,3,0.0
gpt4o,direct,eda_006,0,3,0.0
gpt4o,direct,eda_007,2,3,0.6666666666666666
gpt4o,direct,eda_008,0,3,0.0
gpt4o,direct,eda_009,3,3,1.0
gpt4o,direct,eda_010,0,3,0.0
gpt4o,direct,eda_016,0,3,0.0
gpt4o,direct,eda_024,0,3,0.0
gpt4o,direct,eda_027,0,3,0.0
gpt4o,direct,eda_037,0,3,0.0
gpt4o,direct,eda_201,2,3,0.6666666666666666
gpt4o,direct,eda_202,0,3,0.0
gpt4o,direct,eda_203,0,3,0.0
gpt4o,direct,eda_204,0,3,0.0
gpt4o,direct,eda_205,0,3,0.0
gpt4o,direct,eda_206,0,3,0.0
gpt4o,direct,eda_207,0,3,0.0
gpt4o,direct,eda_208,0,3,0.0
gpt4o,direct,eda_209,0,3,0.0
gpt4o,direct,eda_210,0,3,0.0
gpt4o,full,eda_005,1,3,0.3333333333333333
gpt4o,full,eda_006,0,3,0.0
gpt4o,full,eda_007,2,3,0.6666666666666666
gpt4o,full,eda_008,0,3,0.0
gpt4o,full,eda_009,3,3,1.0
gpt4o,full,eda_010,3,3,1.0
gpt4o,full,eda_016,0,3,0.0
gpt4o,full,eda_024,0,3,0.0
gpt4o,full,eda_027,3,3,1.0
gpt4o,full,eda_037,0,3,0.0
gpt4o,full,eda_201,1,3,0.3333333333333333
gpt4o,full,eda_202,1,3,0.3333333333333333
gpt4o,full,eda_203,0,3,0.0
gpt4o,full,eda_204,0,3,0.0
gpt4o,full,eda_205,0,3,0.0
gpt4o,full,eda_206,0,3,0.0
gpt4o,full,eda_207,0,3,0.0
gpt4o,full,eda_208,0,3,0.0
gpt4o,full,eda_209,0,3,0.0
gpt4o,full,eda_210,0,3,0.0
gpt4o,spicepilot,eda_005,0,3,0.0
gpt4o,spicepilot,eda_006,0,3,0.0
gpt4o,spicepilot,eda_007,0,3,0.0
gpt4o,spicepilot,eda_008,0,3,0.0
gpt4o,spicepilot,eda_009,3,3,1.0
gpt4o,spicepilot,eda_010,0,3,0.0
gpt4o,spicepilot,eda_016,0,3,0.0
gpt4o,spicepilot,eda_024,0,3,0.0
gpt4o,spicepilot,eda_027,0,3,0.0
gpt4o,spicepilot,eda_037,0,3,0.0
gpt4o,spicepilot,eda_201,0,3,0.0
gpt4o,spicepilot,eda_202,0,3,0.0
gpt4o,spicepilot,eda_203,0,3,0.0
gpt4o,spicepilot,eda_204,0,3,0.0
gpt4o,spicepilot,eda_205,0,3,0.0
gpt4o,spicepilot,eda_206,0,3,0.0
gpt4o,spicepilot,eda_207,0,3,0.0
gpt4o,spicepilot,eda_208,0,3,0.0
gpt4o,spicepilot,eda_209,0,3,0.0
gpt4o,spicepilot,eda_210,0,3,0.0
