model,task,repeat,arm,passed,source,exposure,generation_calls,generation_tokens_known,preparation_calls_required,preparation_tokens_required,attempts,first_attempt_pass,failure_stage,finite_measurement,relative_deviation,numerical_loss,simulator_logs_retained,record
gpt4o,eda_016,1,analogcoder,False,formal-v1,development,1,2587,0,0,1,False,specification,True,0.9175125266666666,0.9175125266666666,1,records/units/gpt4o/eda_016/1/analogcoder/record.json
gpt4o,eda_016,1,spicepilot,False,formal-v1,development,3,12938,0,0,3,False,specification,True,1.096411411764706,1,3,records/units/gpt4o/eda_016/1/spicepilot/record.json
gpt4o,eda_016,1,direct,False,formal-v1,development,3,2057,0,0,3,False,specification,True,1.1408813529411768,1,6,records/units/gpt4o/eda_016/1/direct/record.json
gpt4o,eda_016,3,analogcoder,False,formal-v1,development,1,2556,0,0,1,False,specification,True,0.9175125266666666,0.9175125266666666,1,records/units/gpt4o/eda_016/3/analogcoder/record.json
gpt4o,eda_016,3,spicepilot,False,formal-v1,development,3,12846,0,0,3,False,specification,True,1.0,1.0,3,records/units/gpt4o/eda_016/3/spicepilot/record.json
gpt4o,eda_016,3,direct,False,formal-v1,development,3,2019,0,0,3,False,specification,True,1.0759657254901962,1,6,records/units/gpt4o/eda_016/3/direct/record.json
gpt4o,eda_016,2,analogcoder,False,formal-v1,development,1,2544,0,0,1,False,specification,True,0.9175125266666666,0.9175125266666666,1,records/units/gpt4o/eda_016/2/analogcoder/record.json
gpt4o,eda_016,2,spicepilot,False,formal-v1,development,3,12903,0,0,3,False,specification,True,1.0,1.0,3,records/units/gpt4o/eda_016/2/spicepilot/record.json
gpt4o,eda_016,2,direct,False,formal-v1,development,3,2046,0,0,3,False,specification,True,0.7482827470588236,0.7482827470588236,6,records/units/gpt4o/eda_016/2/direct/record.json
gpt4o,eda_027,1,analogcoder,False,formal-v1,development,1,2604,0,0,1,False,evaluation,False,,1,2,records/units/gpt4o/eda_027/1/analogcoder/record.json
gpt4o,eda_027,1,spicepilot,False,formal-v1,development,3,12791,0,0,3,False,evaluation,False,,1,4,records/units/gpt4o/eda_027/1/spicepilot/record.json
