model,task,repeat,arm,passed,generation_calls,generation_tokens,standalone_preparation_tokens,source,record,record_sha256,original_record
gpt4o,eda_016,1,analogcoder,False,1,2587,0,formal-v1,records/units/gpt4o/eda_016/1/analogcoder/record.json,2de687bebd4b8bf66562ad7d072db3d073bc5385186cd0d817e3f6e91f5509a8,formal-v1/units/gpt4o/eda_016/1/analogcoder/record.json
gpt4o,eda_016,1,spicepilot,False,3,12938,0,formal-v1,records/units/gpt4o/eda_016/1/spicepilot/record.json,7d298d5f308440af2580a0eef71f2a73d1bd1b301225e87fa90af6edbb6279e9,formal-v1/units/gpt4o/eda_016/1/spicepilot/record.json
gpt4o,eda_016,1,direct,False,3,2057,0,formal-v1,records/units/gpt4o/eda_016/1/direct/record.json,ae7d53f39cdb4f7dde1f8313263ae9437b9515a6a04fbc41878335d497fc5f8f,formal-v1/units/gpt4o/eda_016/1/direct/record.json
gpt4o,eda_016,3,analogcoder,False,1,2556,0,formal-v1,records/units/gpt4o/eda_016/3/analogcoder/record.json,6a65b522e1e8dd1127be250b39454cffdcd6aa27f53c4922f794901c5784d483,formal-v1/units/gpt4o/eda_016/3/analogcoder/record.json
gpt4o,eda_016,3,spicepilot,False,3,12846,0,formal-v1,records/units/gpt4o/eda_016/3/spicepilot/record.json,347ad6596c6b75fce3a9cb91e9542d11890cae7575081512cf24818c47c9c14d,formal-v1/units/gpt4o/eda_016/3/spicepilot/record.json
gpt4o,eda_016,3,direct,False,3,2019,0,formal-v1,records/units/gpt4o/eda_016/3/direct/record.json,fd2d874d6569b3177d6a7cc9ec62467ac49db131581d856fc911b75ead4e84b4,formal-v1/units/gpt4o/eda_016/3/direct/record.json
gpt4o,eda_016,2,analogcoder,False,1,2544,0,formal-v1,records/units/gpt4o/eda_016/2/analogcoder/record.json,c7dd2557ab7128b4d0b6b627b610c57f9ec54094776a0758f2b08523f85b5d0f,formal-v1/units/gpt4o/eda_016/2/analogcoder/record.json
gpt4o,eda_016,2,spicepilot,False,3,12903,0,formal-v1,records/units/gpt4o/eda_016/2/spicepilot/record.json,7c4c3b86fd6c17819bb652ea24dc3dccbe17218152e21f11c3fd6b49ebc54b91,formal-v1/units/gpt4o/eda_016/2/spicepilot/record.json
gpt4o,eda_016,2,direct,False,3,2046,0,formal-v1,records/units/gpt4o/eda_016/2/direct/record.json,7777b28c01206c82c4e130b2630637c2f130b2ac6dc093c969224bc8d873f67b,formal-v1/units/gpt4o/eda_016/2/direct/record.json
gpt4o,eda_027,1,analogcoder,False,1,2604,0,formal-v1,records/units/gpt4o/eda_027/1/analogcoder/record.json,1dae2e0b9a9c42313890b7d92c14f136c62aa106d0e039b387b723e80cf5d45d,formal-v1/units/gpt4o/eda_027/1/analogcoder/record.json
gpt4o,eda_027,1,spicepilot,False,3,12791,0,formal-v1,records/units/gpt4o/eda_027/1/spicepilot/record.json,1772b29528f6bfd7851b28babbb96e53018656bf8cd50c27dfc5d5cffd9c7731,formal-v1/units/gpt4o/eda_027/1/spicepilot/record.json
gpt4o,eda_027,1,direct,False,3,2064,0,formal-v1,records/units/gpt4o/eda_027/1/direct/record.json,06d3a9605d1c3eb2d8373d040899818cdd6693eb52d3ad9d5dddc4de7f9579a0,formal-v1/units/gpt4o/eda_027/1/direct/record.json
gpt4o,eda_027,3,analogcoder,False,1,2551,0,formal-v1,records/units/gpt4o/eda_027/3/analogcoder/record.json,156d67ad8804b88c7a68cd9c95c4dc3d9f1f7c35e2362355de2f73eeb510541c,formal-v1/units/gpt4o/eda_027/3/analogcoder/record.json
gpt4o,eda_027,3,spicepilot,False,3,12604,0,formal-v1,records/units/gpt4o/eda_027/3/spicepilot/record.json,22eaa1b6d542f8f4e334cfe7829d5304f8db868cc47f16391db0f36f460cca7b,formal-v1/units/gpt4o/eda_027/3/spicepilot/record.json
gpt4o,eda_027,3,direct,False,3,2009,0,formal-v1,records/units/gpt4o/eda_027/3/direct/record.json,c8e4135f0dbd795785004533b89e8a62c708784ba3504b1f3426117d1a096764,formal-v1/units/gpt4o/eda_027/3/direct/record.json
gpt4o,eda_027,2,analogcoder,False,2,5577,0,formal-v1,records/units/gpt4o/eda_027/2/analogcoder/record.json,843969ca2ca74da76b2a38a708b2cb8c0fac616af702e13f5d68fe0afd4f1a93,formal-v1/units/gpt4o/eda_027/2/analogcoder/record.json
gpt4o,eda_027,2,spicepilot,False,3,12771,0,formal-v1,records/units/gpt4o/eda_027/2/spicepilot/record.json,f3e5ac2315c3a0f382d1858c5cfb52da5fb146d68025675f0d2cd79c093b0950,formal-v1/units/gpt4o/eda_027/2/spicepilot/record.json
gpt4o,eda_027,2,direct,False,3,1982,0,formal-v1,records/units/gpt4o/eda_027/2/direct/record.json,e36c978d65ac560bc78c84feb1c57ec2228b5df8b0a96a778796c10eb6b03506,formal-v1/units/gpt4o/eda_027/2/direct/record.json
gpt4o,eda_010,1,analogcoder,False,1,2594,0,formal-v1,records/units/gpt4o/eda_010/1/analogcoder/record.json,09a6b31b1d7845130257f88bbe0e82239bc66f0c7dfec04c83240c22039e46cc,formal-v1/units/gpt4o/eda_010/1/analogcoder/record.json
gpt4o,eda_010,1,spicepilot,False,3,12568,0,formal-v1,records/units/gpt4o/eda_010/1/spicepilot/record.json,77fe7f3088c1cc8d12af295ee0ef13f68abbf9139e23d31fbc3fcb7f666cb350,formal-v1/units/gpt4o/eda_010/1/spicepilot/record.json
gpt4o,eda_010,1,direct,False,3,2127,0,formal-v1,records/units/gpt4o/eda_010/1/direct/record.json,813e25250250ef409652e2f90ca06e009cfbbec6627c75307e125b1e77a605b1,formal-v1/units/gpt4o/eda_010/1/direct/record.json
gpt4o,eda_010,3,analogcoder,False,1,2538,0,formal-v1,records/units/gpt4o/eda_010/3/analogcoder/record.json,b1809f16434bce5da3dff753377051b6f74957921fc471ad255a63b1741dddfb,formal-v1/units/gpt4o/eda_010/3/analogcoder/record.json
gpt4o,eda_010,3,spicepilot,False,3,12538,0,formal-v1,records/units/gpt4o/eda_010/3/spicepilot/record.json,275c6ed04c45b5f483b356a52a5fa61d22e070c210e8355b9e085160345cc8d0,formal-v1/units/gpt4o/eda_010/3/spicepilot/record.json
gpt4o,eda_010,3,direct,False,3,2029,0,formal-v1,records/units/gpt4o/eda_010/3/direct/record.json,ad0fc7294ce26d8b598adaf91d04a111808a737d7734ee837f8276cd41740efe,formal-v1/units/gpt4o/eda_010/3/direct/record.json
gpt4o,eda_010,2,analogcoder,False,1,2605,0,formal-v1,records/units/gpt4o/eda_010/2/analogcoder/record.json,328b3ad6443f55274bdd41d0cf48260bbb4aa7694e070be36d4e62211a08b50b,formal-v1/units/gpt4o/eda_010/2/analogcoder/record.json
gpt4o,eda_010,2,spicepilot,False,3,12541,0,formal-v1,records/units/gpt4o/eda_010/2/spicepilot/record.json,7c5334808c5198f6432418c75e5bab3ee1544d8e891a1434312b32be0b8d681f,formal-v1/units/gpt4o/eda_010/2/spicepilot/record.json
gpt4o,eda_010,2,direct,False,3,2029,0,formal-v1,records/units/gpt4o/eda_010/2/direct/record.json,e31ee3b13f4202150cefec0d794357116e9bed2bb59a746a472231771fead642,formal-v1/units/gpt4o/eda_010/2/direct/record.json
gpt4o,eda_207,1,analogcoder,False,1,2778,0,formal-v1,records/units/gpt4o/eda_207/1/analogcoder/record.json,260179b13b26d4710557abd505010926eef642c0aa75c05bde4765b07246ff44,formal-v1/units/gpt4o/eda_207/1/analogcoder/record.json
gpt4o,eda_207,1,spicepilot,False,3,13217,0,formal-v1,records/units/gpt4o/eda_207/1/spicepilot/record.json,f3d624ec745004dbd689224c318c11c3460333ce85436a5123ca1567e277b1b9,formal-v1/units/gpt4o/eda_207/1/spicepilot/record.json
gpt4o,eda_207,1,direct,False,3,2239,0,formal-v1,records/units/gpt4o/eda_207/1/direct/record.json,de7b5f1afc0ced38484a1de19b23b94ff86475d73e3dbe519095fb709a350f21,formal-v1/units/gpt4o/eda_207/1/direct/record.json
gpt4o,eda_207,3,analogcoder,False,1,2677,0,formal-v1,records/units/gpt4o/eda_207/3/analogcoder/record.json,b19d8a0e54a7bf0c5253ff42854d8fbc139143c90855348c462ff5e7a6185131,formal-v1/units/gpt4o/eda_207/3/analogcoder/record.json
gpt4o,eda_207,3,spicepilot,False,3,13310,0,formal-v1,records/units/gpt4o/eda_207/3/spicepilot/record.json,d7922cefe4745687d666c22f522e199fdf8eed14daa454e8945ef29158d997a9,formal-v1/units/gpt4o/eda_207/3/spicepilot/record.json
gpt4o,eda_207,3,direct,False,3,2407,0,formal-v1,records/units/gpt4o/eda_207/3/direct/record.json,e59979b9a3aa05ae0d40b7bc9ce8c691ac46c2c412d1285f7928bb120daa6898,formal-v1/units/gpt4o/eda_207/3/direct/record.json
gpt4o,eda_207,2,analogcoder,False,1,2800,0,formal-v1,records/units/gpt4o/eda_207/2/analogcoder/record.json,8b2f5f4b23411ea7719b3eadba07c5acb7f9f78152ac50548f8dc4ef0a637ad1,formal-v1/units/gpt4o/eda_207/2/analogcoder/record.json
gpt4o,eda_207,2,spicepilot,False,3,13240,0,formal-v1,records/units/gpt4o/eda_207/2/spicepilot/record.json,1a2ef93908bd5061f04751d60dcb7f9ae0df4d29ad04fd8af6f6af720ab87c55,formal-v1/units/gpt4o/eda_207/2/spicepilot/record.json
gpt4o,eda_207,2,direct,False,3,2336,0,formal-v1,records/units/gpt4o/eda_207/2/direct/record.json,7c0c647daf4202a9a6c022f325f75513c9114a86b0fd5c53dff521ce78f9c999,formal-v1/units/gpt4o/eda_207/2/direct/record.json
gpt4o,eda_209,1,analogcoder,False,3,10702,0,formal-v1,records/units/gpt4o/eda_209/1/analogcoder/record.json,d0bf04d9588b9eb4f37e8abbed4403fd7c8043b58b9e187565aaf1245f16eb50,formal-v1/units/gpt4o/eda_209/1/analogcoder/record.json
