group,prompt,success,iterations_used,fatal_errors,error_msg
G0_Ours,Design a filter circuit with a cutoff frequency of 600 Hz,True,1,0,
G1_No_Expert,Design a filter circuit with a cutoff frequency of 600 Hz,False,8,7,
G2_No_Shield,Design a filter circuit with a cutoff frequency of 600 Hz,True,1,0,
G3_No_Metric,Design a filter circuit with a cutoff frequency of 600 Hz,True,1,0,
G4_No_Iter,Design a filter circuit with a cutoff frequency of 600 Hz,True,1,0,
G0_Ours,Design a filter circuit with a cutoff frequency of 1000 Hz,True,2,0,
G1_No_Expert,Design a filter circuit with a cutoff frequency of 1000 Hz,False,8,7,
G2_No_Shield,Design a filter circuit with a cutoff frequency of 1000 Hz,True,2,0,
G3_No_Metric,Design a filter circuit with a cutoff frequency of 1000 Hz,True,1,0,
G4_No_Iter,Design a filter circuit with a cutoff frequency of 1000 Hz,False,1,0,
G0_Ours,Design a single-transistor common-emitter amplifier circuit with an AC gain of 40 dB,True,1,0,
G1_No_Expert,Design a single-transistor common-emitter amplifier circuit with an AC gain of 40 dB,False,8,8,
G2_No_Shield,Design a single-transistor common-emitter amplifier circuit with an AC gain of 40 dB,True,1,0,
G3_No_Metric,Design a single-transistor common-emitter amplifier circuit with an AC gain of 40 dB,True,1,0,
G4_No_Iter,Design a single-transistor common-emitter amplifier circuit with an AC gain of 40 dB,True,1,0,
G0_Ours,Design a single-transistor common-emitter amplifier circuit with an AC gain of 30 dB,True,1,0,
G1_No_Expert,Design a single-transistor common-emitter amplifier circuit with an AC gain of 30 dB,False,8,8,
G2_No_Shield,Design a single-transistor common-emitter amplifier circuit with an AC gain of 30 dB,False,8,0,
G3_No_Metric,Design a single-transistor common-emitter amplifier circuit with an AC gain of 30 dB,False,8,0,
G4_No_Iter,Design a single-transistor common-emitter amplifier circuit with an AC gain of 30 dB,False,1,0,
G0_Ours,Design a shunt regulator circuit based on a Zener diode,True,3,0,
G1_No_Expert,Design a shunt regulator circuit based on a Zener diode,False,8,8,
G2_No_Shield,Design a shunt regulator circuit based on a Zener diode,True,1,0,
G3_No_Metric,Design a shunt regulator circuit based on a Zener diode,False,8,0,
G4_No_Iter,Design a shunt regulator circuit based on a Zener diode,False,1,0,
G0_Ours,Design a shunt regulator circuit based on a Zener diode, output 5 V,False,8,8,
G1_No_Expert,Design a shunt regulator circuit based on a Zener diode, output 5 V,False,8,8,
G2_No_Shield,Design a shunt regulator circuit based on a Zener diode, output 5 V,True,1,0,
G3_No_Metric,Design a shunt regulator circuit based on a Zener diode, output 5 V,False,8,8,
G4_No_Iter,Design a shunt regulator circuit based on a Zener diode, output 5 V,False,1,1,
G0_Ours,Design an operational amplifier circuit with a gain of 40 dB,True,1,0,
G1_No_Expert,Design an operational amplifier circuit with a gain of 40 dB,False,8,7,
G2_No_Shield,Design an operational amplifier circuit with a gain of 40 dB,True,1,0,
G3_No_Metric,Design an operational amplifier circuit with a gain of 40 dB,True,1,0,
G4_No_Iter,Design an operational amplifier circuit with a gain of 40 dB,True,1,0,
G0_Ours,Design an operational amplifier circuit with a gain of 20 dB,True,1,0,
G1_No_Expert,Design an operational amplifier circuit with a gain of 20 dB,False,8,1,
G2_No_Shield,Design an operational amplifier circuit with a gain of 20 dB,True,1,0,
G3_No_Metric,Design an operational amplifier circuit with a gain of 20 dB,True,1,0,
G4_No_Iter,Design an operational amplifier circuit with a gain of 20 dB,True,1,0,
G0_Ours,Design an LED constant-current driver circuit with a current of 20 mA,True,1,0,
G1_No_Expert,Design an LED constant-current driver circuit with a current of 20 mA,False,8,8,
G2_No_Shield,Design an LED constant-current driver circuit with a current of 20 mA,True,1,0,
G3_No_Metric,Design an LED constant-current driver circuit with a current of 20 mA,True,1,0,
G4_No_Iter,Design an LED constant-current driver circuit with a current of 20 mA,True,1,0,
G0_Ours,Design an LED constant-current driver circuit with a current of 10 mA,True,1,0,
G1_No_Expert,Design an LED constant-current driver circuit with a current of 10 mA,False,8,8,
G2_No_Shield,Design an LED constant-current driver circuit with a current of 10 mA,True,1,0,
G3_No_Metric,Design an LED constant-current driver circuit with a current of 10 mA,True,1,0,
G4_No_Iter,Design an LED constant-current driver circuit with a current of 10 mA,True,1,0,
